sep=,
Steam Sales data for Jack Michael Gilbride: 2000-01-01 - 2020-02-26

Date, Bundle(ID#),Bundle Name,Product(ID#),Product Name,Type,Game,Platform,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD),Tag
2018-08-11,-1,Direct Package Sale,279673,"Cybrus",Retail,"Cybrus",Windows,US,United States,North America,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,"itch.io"
2018-08-17,-1,Direct Package Sale,279673,"Cybrus",Retail,"Cybrus",Windows,US,United States,North America,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,"itch.io"
2018-08-19,-1,Direct Package Sale,279672,"Cybrus for Beta Testing (retail)",Retail,"Cybrus",Windows,GB,United Kingdom,Western Europe,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,"YouTubers"
2018-08-19,-1,Direct Package Sale,279672,"Cybrus for Beta Testing (retail)",Retail,"Cybrus",Windows,SG,Singapore,South East Asia,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,"YouTubers"
2018-08-23,-1,Direct Package Sale,279672,"Cybrus for Beta Testing (retail)",Retail,"Cybrus",Windows,FI,Finland,Western Europe,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,"YouTubers"
2018-08-23,-1,Direct Package Sale,279672,"Cybrus for Beta Testing (retail)",Retail,"Cybrus",Windows,US,United States,North America,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,"YouTubers"
2018-08-23,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,CN,China,Asia,1,0,1,47.00,42.00,CNY,6.1000,0.0000,0.0000,6.1000,""
2018-08-23,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,DE,Germany,Western Europe,1,0,1,11.59,10.43,EUR,12.0500,0.0000,-1.9294,10.1206,""
2018-08-23,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,GB,United Kingdom,Western Europe,1,0,1,10.99,9.89,GBP,12.7100,0.0000,-2.1205,10.5895,""
2018-08-25,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,US,United States,North America,1,0,1,13.99,12.59,USD,12.5900,0.0000,0.0000,12.5900,""
2018-08-27,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,DE,Germany,Western Europe,0,1,-1,11.59,10.43,EUR,0.0000,12.1300,1.9422,-10.1878,""
2018-09-11,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,FR,France,Western Europe,1,0,1,11.59,11.59,EUR,13.4400,0.0000,-2.2381,11.2019,""
2018-09-15,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,FR,France,Western Europe,0,1,-1,11.59,11.59,EUR,0.0000,13.5100,2.2497,-11.2603,""
2018-10-07,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Mac,US,United States,North America,1,0,1,8.99,8.99,USD,8.9900,0.0000,0.0000,8.9900,""
2018-10-29,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,PH,Philippines,South East Asia,1,0,1,269.95,107.98,PHP,2.0139,0.0000,0.0000,2.0139,""
2018-10-29,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,TR,Turkey,Middle East,1,0,1,16.50,6.60,TRY,1.1900,0.0000,-0.1821,1.0079,""
